City_ID,City,Cloudiness,Country,Date,Humidity,Lat,Lng,Max Temp,Wind Speed
0,upernavik,58,GL,1586486019,87,72.79,-56.15,13.15,8.7
1,muravlenko,93,RU,1586486019,96,63.79,74.52,28.49,26.87
2,price,1,US,1586486019,40,39.6,-110.81,53.6,3.36
3,butaritari,100,KI,1586486020,77,3.07,172.79,84.58,10.33
4,bure,93,ET,1586486020,35,10.7,37.07,64.9,0.69
5,tutin,0,RS,1586486020,55,42.99,20.33,38.8,3.42
6,busselton,100,AU,1586485893,43,-33.65,115.33,80.01,9.4
7,kapaa,90,US,1586485880,73,22.08,-159.32,78.8,10.29
8,socorro,20,US,1586485973,16,31.65,-106.3,75.2,10.29
9,vokhma,100,RU,1586486020,89,58.93,46.76,39.52,8.16
10,hilo,90,US,1586486020,69,19.73,-155.09,78.8,9.17
11,pacific grove,90,US,1586485869,67,36.62,-121.92,60.8,4.7
12,tuktoyaktuk,40,CA,1586486020,84,69.45,-133.04,8.6,18.34
13,sechura,87,PE,1586486020,74,-5.56,-80.82,74.71,12.71
14,severo-kurilsk,86,RU,1586486020,95,50.68,156.12,31.44,7.16
15,nanortalik,91,GL,1586486020,91,60.14,-45.24,31.96,11.1
16,port alfred,98,ZA,1586486020,60,-33.59,26.89,69.39,4.41
17,caravelas,100,BR,1586486021,88,-17.71,-39.25,76.1,11.61
18,tasiilaq,100,GL,1586486021,62,65.61,-37.64,21.2,4.7
19,puerto del rosario,97,ES,1586486021,82,28.5,-13.86,68.0,6.93
20,ndele,85,CF,1586486021,71,8.41,20.65,73.33,3.62
21,chokurdakh,90,RU,1586486021,95,70.63,147.92,19.67,16.33
22,albany,20,US,1586485868,48,42.6,-73.97,42.8,19.46
23,deniliquin,34,AU,1586485752,76,-35.53,144.97,64.99,6.62
24,ushuaia,100,AR,1586485956,48,-54.8,-68.3,60.8,14.99
25,arraial do cabo,25,BR,1586486021,71,-22.97,-42.03,73.78,11.59
26,carnarvon,0,AU,1586486021,69,-24.87,113.63,82.4,6.93
27,barrow,1,US,1586486021,77,71.29,-156.79,1.4,13.87
28,east london,44,ZA,1586486021,61,-33.02,27.91,68.52,5.37
29,ilulissat,0,GL,1586486022,42,69.22,-51.1,28.4,6.93
30,dikson,93,RU,1586485983,93,73.51,80.55,9.32,15.79
31,nikolskoye,26,RU,1586486022,69,59.7,30.79,37.4,11.18
32,college,40,US,1586486022,32,64.86,-147.8,26.6,11.41
33,cairns,75,AU,1586485793,62,-16.92,145.77,88.0,12.75
34,avarua,100,CK,1586486022,84,-21.21,-159.78,86.0,11.41
35,goure,92,NE,1586486022,15,13.98,10.27,77.04,7.7
36,faanui,81,PF,1586486022,74,-16.48,-151.75,83.3,7.0
37,vaini,20,TO,1586486022,57,-21.2,-175.2,80.6,12.75
38,luderitz,30,NA,1586486022,59,-26.65,15.16,60.8,8.05
39,babugarh,39,IN,1586486022,19,28.72,77.85,85.35,6.22
40,tokur,18,RU,1586486022,51,53.13,132.9,40.14,8.37
41,guerrero negro,0,MX,1586486022,66,27.98,-114.06,59.65,19.08
42,shingu,40,JP,1586486022,38,33.73,135.98,59.0,17.22
43,naze,20,JP,1586486023,49,28.37,129.48,73.4,14.99
44,mataura,0,NZ,1586486023,77,-46.19,168.86,60.01,13.0
45,vostok,6,RU,1586486079,44,46.49,135.88,43.48,8.25
46,ostrovnoy,31,RU,1586486080,94,68.05,39.51,12.18,14.23
47,bluff,24,NZ,1586486080,77,-46.6,168.33,60.01,13.0
48,hami,0,CN,1586486080,19,42.8,93.45,64.0,12.46
49,pisco,10,PE,1586486080,83,-13.7,-76.22,73.99,3.36
50,hermanus,100,ZA,1586486080,87,-34.42,19.23,60.01,4.7
51,puerto ayora,7,EC,1586485865,83,-0.74,-90.35,80.01,2.68
52,ouadda,97,CF,1586486080,74,8.08,22.4,69.73,1.52
53,beyneu,25,KZ,1586486081,61,45.32,55.2,42.8,14.45
54,yanam,3,IN,1586486081,71,16.73,82.22,83.75,5.91
55,longyearbyen,40,SJ,1586486056,65,78.22,15.64,5.0,11.41
56,evensk,86,RU,1586486081,86,61.95,159.23,21.97,4.12
57,porto novo,27,BJ,1586486081,82,6.5,2.6,81.01,5.01
58,kichera,78,RU,1586486081,45,55.94,110.1,45.82,1.16
59,ancud,90,CL,1586486081,100,-41.87,-73.82,53.6,13.87
60,garden city,40,US,1586486021,80,42.33,-83.33,37.4,10.29
61,shima,0,CN,1586486082,46,24.45,117.81,73.4,6.71
62,chambersburg,1,US,1586486082,70,39.94,-77.66,45.0,17.22
63,lebu,79,CL,1586486082,88,-37.62,-73.65,51.91,4.92
64,rikitea,100,PF,1586486082,69,-23.12,-134.97,76.71,7.4
65,necochea,0,AR,1586486082,95,-38.55,-58.74,53.01,1.99
66,hobart,75,AU,1586486082,40,-42.88,147.33,69.8,23.04
67,port hardy,75,CA,1586485811,81,50.7,-127.42,50.0,11.41
68,ararat,75,AM,1586486082,87,39.83,44.7,42.8,1.12
69,souillac,40,MU,1586486083,78,-20.52,57.52,78.8,5.82
70,vila franca do campo,20,PT,1586486083,87,37.72,-25.43,59.0,5.82
71,mar del plata,75,AR,1586486083,93,-38.0,-57.56,61.0,6.64
72,saint-joseph,3,RE,1586486083,69,-21.37,55.62,77.0,4.7
73,amapa,92,BR,1586486083,94,1.0,-52.0,74.26,2.1
74,pimentel,31,PE,1586486083,83,-6.84,-79.93,72.55,11.63
75,jamestown,90,US,1586486046,100,42.1,-79.24,35.01,18.5
76,dongsheng,91,CN,1586486084,31,39.82,109.98,39.4,16.11
77,new norfolk,75,AU,1586486084,40,-42.78,147.06,69.8,23.04
78,aksu,100,CN,1586486084,17,41.12,80.26,64.53,2.82
79,taoudenni,0,ML,1586486084,15,22.68,-3.98,79.47,10.56
80,svetlogorsk,70,BY,1586486084,69,52.63,29.73,42.76,13.49
81,ostersund,99,SE,1586486084,92,63.18,14.64,30.2,17.22
82,misratah,19,LY,1586486084,57,32.38,15.09,59.07,5.88
83,grand gaube,40,MU,1586486085,78,-20.01,57.66,78.8,5.82
84,manggar,61,ID,1586486085,65,-2.88,108.27,86.95,4.18
85,chicama,100,PE,1586486085,72,-7.84,-79.15,74.79,6.6
86,sola,58,VU,1586486085,79,-13.88,167.55,80.98,17.94
87,uarini,100,BR,1586486085,96,-2.99,-65.11,74.14,3.09
88,barinitas,99,VE,1586486085,54,8.76,-70.41,76.35,1.32
89,saldanha,100,ZA,1586486139,83,-33.01,17.94,61.09,4.38
90,kavieng,17,PG,1586486139,73,-2.57,150.8,84.43,7.25
91,georgetown,20,MY,1586486110,83,5.41,100.34,86.0,4.7
92,los llanos de aridane,14,ES,1586486140,77,28.66,-17.92,69.8,9.17
93,santana do mundau,40,BR,1586486140,94,-9.17,-36.22,77.0,2.24
94,eureka,90,US,1586486140,71,40.8,-124.16,55.99,5.82
95,machico,20,PT,1586486140,72,32.7,-16.77,64.4,12.75
96,tanout,95,NE,1586485979,14,14.97,8.89,78.62,9.26
97,vodnyy,100,RU,1586486140,92,63.5,53.41,32.32,2.75
98,sitka,75,US,1586486140,60,57.05,-135.33,42.8,14.99
99,burgeo,41,CA,1586486140,93,47.62,-57.62,29.5,7.81
100,wonthaggi,100,AU,1586486140,83,-38.6,145.59,66.0,3.0
101,punta arenas,40,CL,1586485930,50,-53.15,-70.92,53.6,24.16
102,beruwala,14,LK,1586486140,72,6.48,79.98,82.89,3.89
103,tiksi,100,RU,1586486140,87,71.69,128.87,34.07,15.7
104,yellowknife,90,CA,1586486141,85,62.46,-114.35,23.0,6.93
105,pangai,0,TO,1586486141,71,-19.8,-174.35,77.97,11.97
106,kitgum,36,UG,1586486141,51,3.28,32.89,69.28,2.1
107,chuy,2,UY,1586486141,86,-33.7,-53.46,59.43,8.41
108,lufilufi,84,WS,1586486141,70,-13.87,-171.6,89.01,13.0
109,blagoyevo,81,RU,1586486141,96,63.37,47.92,28.9,6.11
110,bafata,0,GW,1586486141,82,12.17,-14.75,69.94,5.32
